# (UTF-8), ,© 2012 MapOSMatic/ocitysmap authors. Map data © 2012 OpenStreetMap.org and contributors (CC-BY-SA)
A
,Furnace Street,Y13
G
,Gadlys Road East,L15
,Gadlys Road West,K16
,Gaen Street,I17-J17
,Gaspard Place,J21
,Gateholm Close,O8-O9
,Gelyn-Y-Cler,R7-S7
,George Street,Q15-R16
,Geraint Place,Q10
,Gerddi Margaret,M17
,Gibbonsdown Close,Q10
,Gibbonsdown Rise,P10-P12
,Gilbert Lane,T6-V5
,Gilbert Street,Q12-R12
,Gladstone Bridge,N17
,Gladstone Road,N16-T13
,Glamorgan Street,I18-J18
,Glanfa Dafydd,P18
,Glanmore Crescent,K16-L15
,Glan-Y-Mor,H22
,Glaslyn Close,H14
,Glas Y Llwyn,T7-T8
,Glebe Street,Q12-R12
,Glen Afric Close,K13
,Glenbrook Close,V9
,Glenbrook Drive,V9-W10
,Glencoe Street,P13-P14
,Glen Mavis Way,K13
,Gloucester Close,O12-P12
,Glynbridge Close,N6-O7
,Glyndwr Road,M15-M16
,Goldsland Place,I15
,Goodwick Close,N10-O10
,Gradon Close,U12
,Greenacres,V11-X10
,Greenbanks Drive,J13-K12
,Greenfield Road,K10
,Green Lane,T9-U10
,Green Lawns,P10
,Greenwood Street,N16-O16
,Griffin Close,H10-H9
,Guthrie Street,Q14-R14
,Guy's Road,R14-S13
,Gwalch Y Penwaig,O21
,Gwenllian Street,V12-V13
,Gwennol Y Craig,O22-P22
,Gwennol Y Mor,O21
,Gwilym Place,Q10-Q9
H
,Hafren Road,M15-M16
,Hannah Street,Q12-Q13
,Hanover Street,N14-O15
,Harbour Road,J19-M21
,Hardy Close,P8
,Harlech Gardens,K10-L9
,Harvey Street,S12-T13
,Hawthorn Road,H17-I16
,Hayes Lane,V17-W18
,Hayes Road,AA15-V17
,Hazledene Close,Q11
,Heathfield Drive,L11
,HeathfieldRoad,L10
,Hebbles Lane,T10
,Hellas Drive,I10-I9
,Henry Street,V12-V13
,Heol Broadland,M17
,Heol Ceiniog,O17
,Heol Cilffrydd,P17
,Heol Dewi Sant,L16
,Heol Eryr Mor,O22
,Heol Fioled,R6-S7
,Heol Gorswigen,S8-T8
,Heol Gwendoline,M17
,Heol Gwerthyd,Q7
,Heol Gylfinir,O21
,Heol Leubren,Q7-R6
,Heol Miaren,T8
,Heol Moor,H16
,Heol Pantycelyn,K16-L16
,Heol Sirhwi,H13
,Heol-Y-Bryn,H22
,Heol-Y-Cawl,AC2
,Heol Y Frenhines,AB5-AC5
,Heol Y Gaer,H22
,Heol Y Llongau,P17
,Heol-Y-Nant,Q11-R11
,Heol Y Porthladd,O17-P17
,Heosl Sirwi,H14
,Herbert Street,Q11-Q12
,Heritage Drive,J14-K15
,Highfield Road,K10
,Highlight Lane,H10-J10
,Highlight Lane Footpath,H10
,High Street,K18-L17
,Highwalls Road,AA1-AC2
,Hilda Street,M16-M17
,Hillary Rise,S14
,Hillside Close,U12-V12
,Hill Street,S14-T13
,Hinchsliff Avenue,K10-M8
,Holland Way,R10
,Hollyrood Close,H10
,Holmes Street,S12-T13
,Holton Road,N16-T13
,Hood Road,K19-M18
,Horton Way,Y13-Z13
,Howard Court,I16-J16
,Hunter Street,T12-T13
,Hunt Place,S13
,Hywel Crescent,P12-Q12
I
,Ilminster Close,R12
,Ilminster Street,R12
,Iolo Place,R10
,Irving Place,M14
,Island Road,K17-L18
,Islwyn Way,Q10
,Ivor Street,O20
J
,James Street,W12
,Jenkin Street,S10-S11
,Jenner Road,J17-L15
,Jenner Street,T12-T13
,Jewel Street,Q16-R14
,John Street,V12
,Jubilee Gardens,W10
K
,Kathleen Street,I17-J17
,Keats way,M9
,Kendrick Road,N16
,Kenilworth Road,R12-S12
,Kennedy Rise,I16
,Kent Green,M14
,Kingsland Crescent,P16-Q17
,Kings Ride,AA2-AA3
,Knap Car Terrace,F21-H22
L
,Lakeside,I21-I23
,Lakin Drive,H10-I9
,Laleston Close,P9-Q9
,Langlands Road,U9-W11
,Laugharne Court,O10
,Laura Street,W12-X12
,Lee Road,R12-R13
,Lettons Way,AC1
,Lewis Street,I17-J17
,Lidmore Road,H15-I15
,Liscum Way,I10-J11
,Little Brynhill Lane,J8-K9
,Little Moors Hill,T12-V12
,Llandinam Road,M15-M16
,Llanover Street,R12-S12
,Llantwit Street,P15
,Llewellyn St,Q12-R13
,Lloyd Avenue,L13-M13
,Llwyn David,M17
,Llys Gwent,U9
,Llys Y Coed,H16
,Lombard Street,N15-O16
,Lon Fferm Felin,H17
,Long Acre Close,V9
,Long Meadow Drive,P10-P11
,Lowdon Terrace,M15-M16
,Lower Guthrie Street,R14-R15
,Lower Holmes Street,T13
,Lower Morel Street,Q14-R15
,Lower Pyke Street,Q15-R15
,Lucas Close,U9-V9
,Lydstep Road,N11-O9
,Lynmouth Drive,AC16
M
,Maes Glas,H16
,Maes-Y-Coed,G22-H21
,Maes-y-Cwm Street,O14-Q14
,Maes Yr Ysgol,L15-M14
,Magellan Close,P8-Q8
,Main Street,S11-T12
,Manorbier Court,O9
,Maple Close,P11
,Margaret Avenue,N8
,Marine Drive,E20-G21
,Market Street,K18
,Marlborough Close,U11
,Marloes Close,N10-N11
,Marquis Close,P20-P21
,McQuade Place,M20-N20
,Meadow Vale,U9
,Meadow View,V9-W9
,Meadow View Court,AB14
,Meggitt Road,L8-M9
,Meirion Close,R10
,Melrose Street,S12
,Melville Close,M7
,Melyn Y Gors,T7-T8
,Mendip View,T12
,Merevale,AA3
,Merganser Court,O16
,Merlin Place,Q10
,Merthyr Dyfan,N12
,Merthyr Dyfan Rd,N12-N9
,Merthyr Dyfan Road,N6-N9
,Merthyr Street,O16-Q15
,Michaelston Close,R8
,Millwood Rise,H16-I17
,Milton Road,M9-N9
,Milward  Road,S13-S14
,Minehead Avenue,AC15-AC16
,Minster Close,S10-S9
,Min-Y-Mor,G20-G21
,Miskin Street,J20
,Monmouth Way,O12
,Montgomery Road,L17-M16
,Morel Street,Q13-Q14
,Morgan Street,R15
,Morlais Street,V13
,Morningside Walk,N7
,Mountbatten Road,P7-P8
,Mount Pleasant,S12
,Mount Road,AA3-AC3
,Moxon Street,T12
,Munro Place,L13-M13
,Myrtle Grove,U10-U11
N
,Nant Talwg Way,F15-G15
,Narbeth Court,O10-P10
,Neale Street,M13
,Nelson Road,P8
,Newgale Close,N10-O10
,Newlands Street,O14-O15
,Newton Street,R13
,Neyland Court,O10-P10
,Northcote Terrace,T12-U12
,North Road,Y12-Z12
,North Walk,K13-M13
,Norwood Crescent,U11
O
,Oakfield Road,J10
,Oban Street,S12
,O'Donnell Road,Q10-R11
,Ogmore Place,P9
,Old Farm Mews,AC3
,Oldmill Road,U11-U12
,Old Village Road,I19-J19
,Orchard Drive,O12-O13
,Owens Close,M14
,Oxford Street,H19-I18
P
